t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1
0,0.0,0.0,5.0,1.0,-1.3047939310023252e-29,4.450048448378254e-32,1.252121516251387e-31,6.328922586098415e-32,-4.764935067610525e-29,0.0,2.600584986599517e-29,6.513270791933915e-32,-2.5108321777662775e-32,8.495347854614963e-12,4.444785179380001e-05,-9.762911716820964,-5.712783918108269,1.0919507228632666e-06,2.141757586559258e-07,7.764214317907492e-07,0.019043385840804786,0.019043393122794797,7.764214460066299e-07,1.0,0,0,1.0,0,0
0.0350091,2.6035958972842437e-15,1.3619266776166624e-08,4.994017096825397,0.9999984679574192,-0.001750451950835376,3.3463781434472e-10,6.562553633817783e-11,2.9741472815514357e-13,1.5560805731047125e-06,-0.34179103480543416,-0.19999958860898867,3.822824361721328e-08,7.498106743618547e-09,2.197487128272627e-10,0.0020028069392437264,-9.635232696055118,-24.866918336677497,-5.2650192522144686e-08,-9.689805430617657e-09,9.077854802550495e-07,0.08289063573913195,0.08289063540971044,9.077855121218822e-07,0.9990184279153806,0.0009815720846192996,0.03918617060507872,0.9997996046961248,0.0002003953038752097,0.03939853783286611
0.0700183,1.256702606931406e-13,9.189076131116469e-07,4.976146636936582,0.9999171717702926,-0.012870470070842873,9.870202225859626e-10,1.9819822513773808e-10,7.990625742752877e-12,7.167260688565858e-05,-0.6791121383141103,-1.070568738186713,3.63850062402078e-08,7.158875096210743e-09,4.3381210237793134e-10,0.008212103219075326,-9.635438676988258,-24.866918558185034,1.17645200853213e-07,2.4641496181497675e-08,1.21815995860487e-06,0.08289094626833662,0.08289094710620817,1.2181600192866967e-06,0.9980299694768585,0.000988458438522136,0.03919715320911868,0.9995984912521031,0.00020111344402173352,0.03940276148627338
0.105027,6.490263735526919e-13,7.5692963636158626e-06,4.946466773799321,0.9992305950822187,-0.03922006995874069,1.6560105544777447e-09,3.4971321150739414e-10,2.3178009556478004e-11,0.00035917118708287467,-1.0164404530358273,-1.9411378955192233,4.050366224221108e-08,8.0215524124992e-09,6.728777590527085e-10,0.01943269365027988,-9.636402838317753,-24.866918325345154,5.270290787714343e-07,1.0659260542753233e-07,2.2364459956506157e-06,0.08289196238507188,0.082891966009367,2.2364461421965216e-06,0.9970299965551718,0.0009999729216867471,0.03921512029417158,0.9993961792220509,0.00020231203005217436,0.03940971081354428
0.140037,1.84497693799719e-12,3.065416579742756e-05,4.904976871541818,0.9967351590934198,-0.08074038782704336,2.517022336411014e-09,5.569872344628614e-10,4.673487376205488e-11,0.001039492864102906,-1.353802522205816,-2.811707044700212,5.895449119885139e-08,1.1753266676483846e-08,2.7364218484811446e-08,1.0039769901733997,-5.224442835697991,-24.86691750482241,-1.35904799961124e-07,-3.409991761262068e-06,1.1305344521437852,1.21342423512972,1.2134241763234486,1.1305345092772339,0.9960137683800679,0.0010162281751038072,0.03923950985563155,0.999192179242046,0.00020399998000505555,0.03941929403266869
0.175046,1.935811340007742e-11,0.0006292057392887593,4.854391573786205,0.9905390413642322,-0.13723111549793718,3.3675461050690588e-09,-2.1084086312439582e-10,1.0047323261461888e-09,0.03618785273311434,-1.53670571490994,-3.6822761651554146,5.41965825378824e-08,-1.0762757446660121e-07,7.307247574715083e-08,3.5482731606257834,0.07669784166240635,-24.86691420847849,-3.6678120773828745e-06,7.721054795939424e-07,2.58475060275657,2.6676403036590384,2.6676403036591707,2.584750576505116,0.9949771863281963,0.0010365820518716256,0.039268500752575,0.9989860783417366,0.0002061009003093121,0.03943090074053131
0.210055,9.958861861304885e-11,0.0039253075242192655,4.800692445489921,0.9780847144355144,-0.20820719464304158,2.989189922457055e-09,-1.5493932374679492e-09,3.562936049158681e-09,0.16040980521201487,-1.5340205902842639,-4.552845170208488,-7.421032328721422e-08,-8.059683420141203e-08,5.7370039360388484e-08,5.153012615042946,-0.4631437534633613,-24.866909884449797,-1.1433962645293966e-07,7.665858069541945e-08,2.6282800864978757,2.7111697848095124,2.711169784809585,2.628280083891556,0.9939172226718147,0.0010599636563816842,0.03929982229163111,0.9987776081265416,0.0002084702151949113,0.03944357951226465
0.245064,2.6188101374486137e-10,0.01253274561593832,4.746796191621866,0.9562021288196277,-0.2927070044625519,1.522941439464704e-09,-2.363391776434141e-09,5.5714111525472715e-09,0.3408122881133445,-1.5502348496519047,-5.423414023881083,-7.821325400892543e-08,-7.791308406799025e-08,3.0771067767389413e-08,6.930632552453946,-1.4738333577498213,-24.86689530747897,-2.542408005744446e-06,5.531871889484494e-07,2.6718089212333664,2.754698562854114,2.75469856285416,2.6718089024250475,0.9928302809699228,0.001086941701891962,0.03933354347256109,0.9985664949135377,0.00021111321300390867,0.039457231591674705
0.280073,4.795282222301017e-10,0.028537563346002017,4.691766167781082,0.9212125282749458,-0.3890595232323572,-6.260645948988285e-10,-2.6903734520260837e-09,6.64867943063315e-09,0.5834476965518025,-1.6018324716613466,-6.2939823672266275,-1.67220743617156e-07,-5.85464824601897e-08,-1.4080800392636737e-08,8.81483281539918,-2.9399411966005458,-0.0008602636863143281,2.578816589793201e-07,1.4046250415889701e-11,2.798224195195019,2.798227062740401,2.7982270627404358,2.798224195194576,0.9917106429502338,0.0011196380196889584,0.0393712662098249,0.9983523122703213,0.00021418264321639255,0.03947246794598673
0.315082,7.085264318618233e-10,0.05421121724181141,4.634083944319255,0.8728498290115451,-0.48798871509665054,-3.34390296192555e-09,-2.5818943647485855e-09,6.155722874568419e-09,0.892047314883006,-1.7047572519932155,-6.294012484308916,-1.5819253137510318e-07,-5.8545990713198225e-08,-5.761307430465164e-08,10.258449784636417,-4.9582975328811045,0.000760001678591429,2.5800359836556797e-07,1.3897807375791132e-11,2.8417555818220532,2.8417530484828886,2.8417530484833344,2.8417555818220266,0.9905496456027936,0.001160997347440272,0.03941459136476144,0.998134430929422,0.0002178813408991985,0.03948999436563203
